geolocation_city,geolocation_state,jumlah_customer,geolocation_lat,geolocation_lng
cacapava,SP,72,-23.106949811394085,-45.70874221876176
catanduva,SP,71,-21.141257448879855,-48.97505928375698
toledo,PR,70,-24.620829626252146,-53.302064816978934
viamao,RS,70,-30.08421398369886,-51.05317268577468
pinhais,PR,69,-25.427802769997427,-49.17442318025887
cachoeirinha,RS,68,-27.073778241693418,-49.94433844064014
pirassununga,SP,67,-21.9839975995085,-47.40920871978329
campina grande,PB,66,-7.233471316929483,-35.90426452079706
sao joao del rei,MG,66,-21.148975410191248,-44.256372640351636
rio branco,AC,66,-10.20815788320365,-67.38795809181843
rio verde,GO,65,-18.249085224327665,-51.046128585151365
manhuacu,MG,65,-20.25268829369247,-42.040598534498436
aruja,SP,64,-23.401057805892812,-46.3203396661596
guarapuava,PR,64,-25.38667457259999,-51.47655437856292
bage,RS,64,-31.326160698513707,-54.1032772557981
guarapari,ES,64,-20.662484336674147,-40.504685598188715
petrolina,PE,64,-9.376603089935385,-40.51241145010704
muriae,MG,64,-21.131837581666446,-42.377792927928525
jaguariuna,SP,64,-22.69310420006935,-46.987099156080625
caruaru,PE,63,-8.282710777111832,-35.97354087515114
colatina,ES,63,-19.532344115169227,-40.63541385413889
avare,SP,63,-23.101649387828026,-48.924085269088856
votuporanga,SP,61,-20.421379571212295,-49.967460900661195
linhares,ES,61,-19.37383108046351,-40.059385377444585
caratinga,MG,61,-19.773142132185534,-42.32442387523632
amparo,SP,61,-21.02609790589274,-45.69599240281709
sertaozinho,SP,61,-20.17398930442606,-47.153050281873924
itabuna,BA,60,-14.801519996429766,-39.282876663456825
rondonopolis,MT,60,-16.45690822689266,-54.63168703593199
santa cruz do sul,RS,60,-29.719075720445733,-52.42532127787099
paracatu,MG,60,-17.407652492748408,-46.7324995313729
sao sebastiao,SP,59,-23.224374108301888,-45.16141623114384
colombo,PR,59,-25.34606238032931,-49.19084173792566
dourados,MS,59,-22.23052800322996,-54.80077262396096
mogi guacu,SP,59,-22.34476046324421,-46.967665340703626
camacari,BA,58,-12.702878205505685,-38.30600080392515
brusque,SC,57,-27.10970784249302,-48.913970578823026
paranagua,PR,57,-25.541948341991105,-48.53969555836748
itaborai,RJ,57,-22.750457208476444,-42.87995483701022
parnamirim,RN,57,-6.013639236408488,-35.43522714345743
lagoa santa,MG,56,-19.409756956178533,-47.64931705083831
ouro preto,MG,56,-20.391011466737957,-43.507047162023525
tubarao,SC,55,-28.48725608585945,-49.01567017466073
jatai,GO,54,-17.882881723862422,-51.72169148027409
campo mourao,PR,54,-24.03798373844742,-52.377628712122586
cruzeiro,SP,54,-22.086984870432662,-45.17108481349327
itauna,MG,54,-20.078726875629997,-44.585239046678865
lins,SP,54,-21.672958165935032,-49.74858486528393
bento goncalves,RS,54,-29.157688558952582,-51.51718246419207
itapira,SP,53,-22.435619228936865,-46.82508320123671
tupa,SP,53,-21.94680813210286,-50.51608445877471
erechim,RS,53,-27.6416742026846,-52.2711625546415
unai,MG,53,-16.36381396260518,-46.89530822527895
macapa,AP,53,0.03335574273863178,-51.071806557085715
araguari,MG,53,-18.64806504941256,-48.19367757206007
queimados,RJ,53,-22.030761302363434,-43.37685783149726
fernandopolis,SP,53,-20.28473667379769,-50.248351984744986
matao,SP,52,-21.599360987881486,-48.388200168379385
araucaria,PR,52,-25.579515976693376,-49.39216645075773
jaboticabal,SP,52,-21.248593204615545,-48.314564860561696
itapeva,SP,52,-23.8951313183097,-48.69098005690922
uba,MG,51,-21.104098356563966,-42.95180828099241
timoteo,MG,51,-19.552373891162727,-42.644351305294336
barra do pirai,RJ,51,-22.47520201550103,-43.82256014717843
barreiras,BA,51,-12.216692951595293,-44.42313113564647
pato branco,PR,51,-26.2360355299188,-52.67813903733669
apucarana,PR,51,-23.55363526255719,-51.45578915263064
nova serrana,MG,51,-19.874060044307274,-44.98701334631973
ijui,RS,50,-28.387828504120073,-53.91593589989315
francisco beltrao,PR,50,-26.06106689431907,-53.05496839402795
bebedouro,SP,50,-20.957335074434063,-48.498420932552484
alvorada,RS,50,-28.554776660298618,-50.64761285183445
cosmopolis,SP,49,-22.63620539191951,-47.18665828673878
concordia,SC,49,-27.2298668461656,-52.012685592578855
leme,SP,48,-22.183052467900833,-47.38687152851954
uruguaiana,RS,48,-29.775970388630785,-57.07584036700705
ibirite,MG,48,-20.009420444371525,-44.07027588578795
boituva,SP,48,-23.28742694830572,-47.670586146714506
videira,SC,47,-27.00447650803858,-51.15253710423868
campo limpo paulista,SP,47,-23.211590710674756,-46.76959773170197
bertioga,SP,47,-23.81839039682999,-46.080623703430774
itaguai,RJ,47,-22.86534814056684,-43.787320218881774
ituiutaba,MG,47,-18.976338232639993,-49.46240624022838
lajeado,RS,47,-28.134108607160783,-51.751932339815305
joao monlevade,MG,47,-19.83381668527445,-43.17549027476041
registro,SP,46,-24.498837779550897,-47.84616128650989
paranavai,PR,46,-23.08249423204989,-52.455655202353036
patrocinio,MG,46,-18.943090756668806,-46.99064019010139
itaperuna,RJ,45,-21.20342798651726,-41.89346823832069
embu-guacu,SP,45,-23.8351268270498,-46.81408628502836
ilhabela,SP,45,-23.814526222798346,-45.36872586432739
lencois paulista,SP,45,-22.59529490189653,-48.80012556773939
sao pedro da aldeia,RJ,44,-22.467810872871606,-42.34815850502139
sao bento do sul,SC,44,-26.242277289364367,-49.388148708001275
boa vista,RR,44,1.2906101732961497,-59.09593705750876
juazeiro,BA,44,-9.432806982036869,-40.50271943614436
vespasiano,MG,44,-19.731097253636868,-43.94146568879755
itupeva,SP,44,-20.315964767329113,-43.67584423280503
sinop,MT,43,-11.8601707461819,-55.507246143609194
peruibe,SP,43,-24.30309880267998,-46.98704897913631
santarem,PA,43,-2.445521579942537,-54.72027614497072
vargem grande paulista,SP,43,-23.634365479261632,-47.00776143007836
santo angelo,RS,43,-28.29924248949125,-54.25798798877026
passos,MG,43,-20.721758775266544,-46.61268278387617
curvelo,MG,42,-18.76341842229983,-44.433156771319794
alfenas,MG,42,-21.425958242230827,-45.954638174681556
sao mateus,ES,42,-18.727104762872155,-39.842798707987505
sao jose do rio pardo,SP,42,-21.582987429934313,-46.94775856933445
louveira,SP,42,-23.08550507419915,-46.95954096067056
artur nogueira,SP,42,-22.571207861628345,-47.1657687687331
tres coracoes,MG,42,-21.692264074130613,-45.2595287441307
itapema,SC,42,-27.10477573247404,-48.62229620137128
paulista,PE,41,-8.270171574250254,-35.17509343271877
coronel fabriciano,MG,41,-19.498402407396316,-42.626986144529035
mongagua,SP,41,-24.11189555747921,-46.665437421768196
tres lagoas,MS,41,-20.76153004109804,-51.67415349947361
andradina,SP,41,-20.89814019312058,-51.37525798683376
esteio,RS,41,-29.852532199462164,-51.15824015914372
sabara,MG,40,-19.874663899104966,-43.84837497373485
pedro leopoldo,MG,40,-19.613117562252093,-44.03989226354459
saquarema,RJ,40,-22.898259544974874,-42.517818100765865
sapucaia do sul,RS,40,-29.82614779269012,-51.14508422352553
pirapora,MG,40,-19.66124745180383,-49.80508696251274
araguaina,TO,40,-7.198105328872526,-48.210424477526104
cacador,SC,40,-26.78066308692065,-51.00790719041209
sao miguel do oeste,SC,40,-26.733413761251633,-53.51752991440851
varzea grande,MT,40,-13.296329297471734,-53.89712296422451
ponte nova,MG,39,-20.416095690067873,-42.90870718835624
paulo afonso,BA,39,-9.406116816842827,-38.22128775234204
umuarama,PR,39,-23.767127171439277,-53.30151504518854
alagoinhas,BA,39,-12.136876439732411,-38.42578223635308
bom despacho,MG,39,-19.740337139221076,-45.25863430864746
imperatriz,MA,39,-5.512330538439207,-47.47488107327526
ouro branco,MG,39,-12.128856526561746,-39.33583029737679
guanambi,BA,38,-14.223207197286888,-42.78339770003472
capao da canoa,RS,38,-29.7331750608532,-50.007224042358075
monte mor,SP,38,-22.944389409694327,-47.295351221518395
olimpia,SP,38,-20.73752999199967,-48.9090364662508
nova odessa,SP,38,-22.786186296188063,-47.289990030794925
tres rios,RJ,38,-22.110386932576173,-43.20380206599664
ceilandia,DF,38,-15.829787825900917,-48.11639959623801
porto seguro,BA,37,-16.432027097855745,-39.07562867228171
aracruz,ES,37,-19.851187810399068,-40.19642935044236
extrema,MG,37,-17.03204637068951,-53.95406519597306
eunapolis,BA,37,-16.366041235741626,-39.57835012043879
tiete,SP,37,-23.101621006440027,-47.71181914055678
campo largo,PR,37,-25.449121726177726,-49.51254445325037
cianorte,PR,37,-23.65826650687939,-52.609710484911425
penapolis,SP,36,-21.4209018941339,-50.07844976071484
mossoro,RN,36,-5.18925038565527,-37.344855740603705
valparaiso de goias,GO,36,-16.07477934203777,-47.983411362125004
itumbiara,GO,36,-18.407348649787274,-49.225501421031616
tremembe,SP,36,-22.97498488374376,-45.547937514535704
sobral,CE,36,-3.686694208608139,-40.353247130061874
caldas novas,GO,36,-17.73942377072625,-48.6198526311481
campo bom,RS,36,-29.67704500881413,-51.060403440177396
luis eduardo magalhaes,BA,36,-12.092512976501046,-45.80692672676449
paracambi,RJ,35,-22.61483382699214,-43.705683375748585
para de minas,MG,35,-19.858172852304488,-44.63053227840933
vassouras,RJ,35,-22.40767287308994,-43.667689767440216
sao sebastiao do paraiso,MG,35,-20.91395197058557,-46.98629619076701
taquaritinga,SP,35,-21.42679233582676,-48.53970621602733
caucaia,CE,35,-3.726993718854194,-38.65867420188618
adamantina,SP,35,-21.684238907966446,-51.07601533556035
alegrete,RS,34,-29.79281498189353,-55.78858389824306
capivari,SP,34,-22.997483794858958,-47.505725105505064
osorio,RS,34,-29.89559160193635,-50.25566064711838
formosa,GO,34,-15.546358921413905,-47.32912788737832
pedreira,SP,34,-22.74032548616481,-46.896753691339335
guaira,SP,34,-22.205867326234326,-51.28565815143929
jequie,BA,34,-13.864564693279034,-40.076573630509785
imbituba,SC,34,-28.231882617674767,-48.67933195388163
arapongas,PR,34,-23.407869024097973,-51.43438473674083
santa rita do sapucai,MG,34,-22.247210939506797,-45.70752067761215
juazeiro do norte,CE,34,-7.224220270374145,-39.311126459865605
japeri,RJ,34,-22.672582218170586,-43.612089096100384
almirante tamandare,PR,34,-25.3266672899875,-49.287662018268996
santa cruz do rio pardo,SP,34,-22.896328480532986,-49.624240162468844
santa fe do sul,SP,33,-20.22052678746204,-50.90342436588622
rio do sul,SC,33,-27.21098892458255,-49.636221503195486
camaragibe,PE,33,-8.00417158909531,-34.99131389295475
telemaco borba,PR,33,-24.3264743205316,-50.63266420930889
valenca,RJ,32,-19.299837651965177,-42.23314831769852
maracanau,CE,32,-3.8667900262351522,-38.61335041832043
cruz alta,RS,32,-28.644506730481886,-53.60339853047418
cataguases,MG,32,-21.391504707302943,-42.69295567148464
sao lourenco,MG,32,-22.118180246849835,-45.05459488787902
seropedica,RJ,32,-22.762437836297266,-43.67491643501277
valenca,BA,32,-19.299837651965177,-42.23314831769852
mococa,SP,32,-21.469232940795226,-47.01033958197421
monte alto,SP,32,-21.263459220114285,-48.495496727506335
mariana,MG,32,-20.37497229153692,-43.418085248936116
formiga,MG,32,-20.46253562176835,-45.433058998165116
piumhii,MG,31,-20.46910716689903,-45.96079974138365
catalao,GO,31,-18.17115355519775,-47.942321889521445
promissao,SP,31,-21.540999972045167,-49.856858452635045
guaxupe,MG,31,-21.305958369618207,-46.71407789047773
montenegro,RS,31,-29.68780422662315,-51.467963988245124
parati,RJ,31,-23.212886071407144,-44.70778007705104
itabirito,MG,31,-20.25306174547873,-43.8009689283785
cachoeira do sul,RS,31,-30.02700330454212,-52.90363077671483
sao joaquim da barra,SP,31,-20.585751390105457,-47.863693188164746
santo antonio de padua,RJ,31,-21.552859881634557,-42.19618878044136
congonhas,MG,30,-21.410652889080676,-46.12871444870091
ituverava,SP,30,-20.33141443592605,-47.789388483167954
gramado,RS,30,-29.38173761566205,-50.87401159925631
santa rosa,RS,30,-27.888989450308696,-54.45581068611175
alem paraiba,MG,29,-21.85712337702486,-42.656613993623395
mogi-guacu,SP,29,-22.34907878958935,-46.94641104134992
marechal candido rondon,PR,29,-24.554525017898506,-54.05852495786673
ibiuna,SP,29,-23.66029740274755,-47.21680387588347
guaiba,RS,29,-30.121449870629622,-51.336325678972145
navegantes,SC,29,-26.85365336522412,-48.6768261867671
mirassol,SP,29,-20.8146242070109,-49.50733626949482
cerquilho,SP,28,-23.166261903785394,-47.746688703504226
orlandia,SP,28,-20.71682359973729,-47.87953500680892
luziania,GO,28,-16.228650063015326,-47.937401479811996
xanxere,SC,28,-26.876415100422566,-52.403994657794016
santo antonio de jesus,BA,28,-12.962373958685163,-39.254141228383695
corumba,MS,28,-19.009568083457292,-57.65039122132384
santa isabel,SP,28,-19.3103113014021,-47.82500585530256
garca,SP,28,-22.211471483564306,-49.65862497197638
teixeira de freitas,BA,28,-17.5305581856798,-39.747349897805194
parauapebas,PA,28,-9.297825219050813,-49.154932023622436
dracena,SP,28,-21.486393359708092,-51.533744143993836
miguel pereira,RJ,28,-22.455516587510118,-43.47008296388348
arapiraca,AL,28,-9.750788913205406,-36.65486656035668
fazenda rio grande,PR,28,-25.664690043626184,-49.31240728294529
itapolis,SP,28,-21.59434057175033,-48.8110842558583
mafra,SC,28,-26.12585603089477,-49.81253069564952
farroupilha,RS,28,-29.246780430909634,-51.348577213730096
uniao da vitoria,PR,27,-26.228054130438544,-51.077168879259574
armacao dos buzios,RJ,27,-22.766572484803717,-41.908675205986285
tijucas,SC,27,-27.23924890910297,-48.63706692121833
itarare,SP,27,-24.11150288205772,-49.331432729703785
primavera do leste,MT,27,-15.542518572911545,-54.299769427416514
diamantina,MG,27,-18.240347942725787,-43.6005078626568
cambe,PR,27,-23.287481387537415,-51.25681320607984
camboriu,SC,27,-27.02095211578041,-48.657594487560594
jales,SP,27,-20.269192589748982,-50.54513834287517
canoinhas,SC,27,-26.17842967715644,-50.39172922868355
rolandia,PR,27,-23.315498416829087,-51.3793311143084
rio bonito,RJ,27,-19.211978657776978,-43.06849367512961
barra bonita,SP,27,-24.57055543714522,-50.99923446565559
batatais,SP,26,-20.89801660624437,-47.58066706608543
indaial,SC,26,-26.89445663502169,-49.24033677784551
joacaba,SC,26,-27.172115507742987,-51.50903852507784
porto ferreira,SP,26,-21.866032425983516,-47.4781017581213
brumadinho,MG,26,-20.14110758996761,-44.10711952699311
gaspar,SC,26,-26.901855372855103,-48.94740128345224
presidente venceslau,SP,26,-21.8742882795038,-51.844969604108705
frutal,MG,26,-20.02737817547669,-48.93350958851245
santiago,RS,26,-29.186543626128145,-54.867516055696015
sapiranga,RS,25,-29.577549438367537,-50.87457354822904
caceres,MT,25,-16.06438232943728,-57.68804700926159
carangola,MG,25,-20.73251603191775,-42.029943765152545
altamira,PA,25,-3.20515231286017,-52.215138710671035
garanhuns,PE,25,-8.891366473244195,-36.4823273424479
matinhos,PR,25,-25.813132721140203,-48.5363046397346
mineiros,GO,25,-17.559133207325832,-52.547552803115344
cachoeira paulista,SP,25,-22.665773825235462,-45.00905168465506
tramandai,RS,25,-30.005360772726835,-50.14976807414613
arraial do cabo,RJ,25,-22.963566031370593,-42.0506509016767
dois vizinhos,PR,25,-25.748854265422125,-53.06008829226007
biguacu,SC,25,-27.493248723604456,-48.65059356121535
caete,MG,25,-19.8849004292492,-43.66495294562986
barra do garcas,MT,24,-15.878862656849224,-52.27357365971645
trindade,GO,24,-16.007858912909423,-48.80474765233077
dias davila,BA,24,-12.613381623293343,-38.30107302440003
cornelio procopio,PR,24,-23.181161077296654,-50.64960783251922
campos do jordao,SP,24,-22.736719290555136,-45.58642608881506
arcos,MG,24,-20.288301513728257,-45.54130069344619
cordeiro,RJ,24,-22.027256822202872,-42.36626102797319
nanuque,MG,24,-17.844081255954336,-40.34915577347187
lucas do rio verde,MT,24,-13.066932709409706,-55.93254279180879
rio grande da serra,SP,24,-23.745624893916588,-46.39462033694685
tangara da serra,MT,24,-14.615108078258482,-57.51478343819719
ilha solteira,SP,24,-20.42888720023577,-51.34047020675737
venancio aires,RS,24,-29.61111067145766,-52.193313555031075
carazinho,RS,24,-28.29124464593789,-52.79025576343903
aparecida,SP,23,-14.818524685178746,-41.66505271233836
santa barbara,MG,23,-15.959463336161097,-41.19185910567468
jacobina,BA,23,-11.185948677999656,-40.50983477395643
monte carmelo,MG,23,-18.73255318535424,-47.49636761511996
parnaiba,PI,23,-2.9175113045711667,-41.75701026391783
holambra,SP,23,-22.633046009436132,-47.05260391223774
guapimirim,RJ,23,-22.554829943552082,-42.987259126489306
sao fidelis,RJ,23,-21.646291351876275,-41.75133524307317
cravinhos,SP,23,-21.34119869877524,-47.73292275720771
aguas de lindoia,SP,23,-22.477153463969263,-46.61937324894832
mairinque,SP,23,-23.53650295835299,-47.188890116053265
